Date,Nifty IT
2016-12-05,
2016-12-06,
2016-12-07,
2016-12-08,
2016-12-09,
2016-12-12,9953.900390625
2016-12-13,10058.650390625
2016-12-14,10128.9501953125
2016-12-15,10195.75
2016-12-16,10222.9501953125
2016-12-19,10223.650390625
2016-12-20,10322.849609375
2016-12-21,10228.25
2016-12-22,10163.0
2016-12-23,10071.0498046875
