Year,1,2,3,4,5,6,7,8,9,10,11,12
2007,,,,,,,,,,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.085487082143271,6.5515569551592545,-10.073650866619378,-6.066966124209062
2012,16.744325984341103,5.899985843049382,-5.351261144159558,-2.987614765239377,-7.432328080084927,8.065092441620525,-0.8581663410881957,-3.1976844983302,8.306027027943564,-2.749392608364243,0.7294436914022207,3.199408916377
2013,0.8384929948943798,-9.681350682030153,-4.986290270901184,4.233187600217625,-2.021844800319006,-3.9342330042347773,-7.158697623258559,-2.645674367629247,8.07522641549654,7.431218486737845,0.09343894762605665,2.447321562109339
2014,-7.324960507052259,-1.158897812456916,14.273535589896479,-0.8995917258572628,19.91424592462352,6.216530258898678,-3.7425059913580805,-0.6261122338791836,-3.5949098843654714,3.677321698869207,-2.6279628993473025,-5.145531757144117
2015,3.2841780088643135,0.7922361002839162,-6.148729220526771,-0.09136975446434326,2.036615373366457,-0.7655252529065071,-1.5485024405794912,-10.578117534639276,-3.2720687680326987,5.506091621324871,-1.3612280092704987,3.2738095546627433
2016,-4.785885205166873,-6.91353115216452,13.130613116739243,3.4936627251308083,1.8443698494103433,5.413454808600182,8.418211001428833,3.9401573313784466,-0.776169629463852,4.138952136108598,-2.4087603553652026,-1.472804343858225
2017,9.544137522839403,2.832981767709275,1.218724282187278,3.2088808850056383,-1.5825666021168638,-2.8375038476477377,7.003620471184013,4.496242805452133,-1.731592927219383,9.279693379364605,-4.177536750631239,4.070719577299009
2018,0.42931173418827573,-3.7754232127633625,-6.830783385805594,4.023748565761265,-3.7531818784688253,-4.8425380607414965,3.8356241445922867,5.804560375905887,-4.307647166743722,-9.237760716889321,1.5346941348678866,0.997848345937058
2019,-4.7869550692871465,1.1830651544114001,7.61434970159689,3.6797543234193153,-0.08134049237343843,-1.3486364873111056,-10.042637812027234,-5.591054885507574,7.275992252466179,3.56862366144457,0.043726680349287506,0.0058333668870425015
2020,-4.090794047069113,-8.396874151465394,-23.88651173470846,16.770871839604705,1.751896566252853,4.881004159406488,5.596155553430937,4.420456543486817,-1.3508616320226263,3.939312774284942,11.516929096760474,5.3994897414082255
2021,-2.244383693004892,15.857404213428318,3.9331342449232087,5.053927860435881,7.846524775921115,1.381536458975563,4.8339526347271455,1.8832236379961342,3.858974304227014,0.6578601351662661,-5.90295441738049,3.3607398223644225
2022,3.245201709410983,-1.5950275338035835,5.7401154427003,3.5803625458842747,-11.794973852733492,-8.324199714469483,10.470082935220294,5.747039830235301,-5.179851647736955,4.0398083341446345,5.134055533537651,-2.298672624966591
2023,-4.077991594376551,-5.778978001524693,3.387811201801516,4.09509378547801,1.102626431499365,3.2307472681300853,5.4024940962008605,-2.0871821076215546,4.167800958450418,-3.486174904659056,9.506623721770225,12.53919421808234
2024,3.33471965942449,2.1020694034120657,2.3456237268441704,5.591324497955252,1.0014164180164764,4.288968698695461,4.180554090424371,-1.759868045048063,3.6012504760950526,-9.545331304226146,-3.9520245665441656,-4.873718151552864
2025,-0.4297726531226287,-6.058264995053264,11.491882528108732,0.552620869887499,0.802649396688393,4.12519559465212,-2.1598890178280983,-1.9794460566191607,4.8309642708996625,4.697908898510916,-2.0976675663076483,0.12159982493187282
