Year,1,2,3,4,5,6,7,8,9,10,11,12
2007,,,,,,,,,,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481345196290734,-18.080389928821226,-5.981801220475269,8.070131630309941,-14.153583685839576,-9.065415147599998
2012,24.718004018226058,5.297997622770256,-5.620005494323966,-2.7661838120959126,-9.14737652291474,6.366383640085949,-3.037963744691019,-8.204727072851037,8.360726844889577,-3.7079145341988307,1.7087142015614676,6.968979742892811
2013,-4.378932850616324,-14.888665008338597,-5.433515991011162,-1.4694703370411455,-2.009728103967734,-8.626056241496538,-11.827133258110777,11.302769940740042,6.998525087720964,10.462803385570862,2.707795035377769,5.993184043318411
2014,-8.322616712979357,-5.088500645679773,16.499896753780895,-0.7716244589853649,23.816566560093477,6.840715048488355,-0.3913849995277663,-6.532557971915754,-6.979386463236493,3.5211970805705706,-4.3065670241920095,-6.256490219839672
2015,-5.552319471220257,3.702305614942847,-10.815897171215505,3.3534794385474465,-0.8241677277868509,-3.9998340015964584,-6.936131819070168,-13.8820328135842,-9.565500545542383,8.9425742329297,-3.8897039451139537,5.245415612200377
2016,-9.21805439223603,-1.4953678125944392,17.078321294676833,6.961546687290721,-0.6818884010770576,7.3947448815449235,11.026068592089278,5.945847679505145,-1.741499996956264,6.197341281976154,4.5008979518021075,-5.230623010889291
2017,15.819042324458055,1.796814863356433,-0.9832762932844519,-3.9447173324584917,-0.7211522282183025,1.3003995028475046,8.97921823747998,6.592130238291638,2.1713152812768977,9.189364152691493,-5.112792268264165,7.117316126442463
2018,3.1902389103959816,-1.7585498304823366,-12.062038555679655,7.467510645595921,-4.800195785920202,-4.2714233208941295,-3.053640325845408,9.245595169162058,-4.339289838873017,-5.405487001465536,-4.040096244849889,-0.28921066278151386
2019,-7.568312705543323,-1.5175677252945219,3.5555039017778567,3.880692348900161,-6.108581442720807,2.7513464182521874,-13.155159225942636,-11.521741878313696,6.546000990443668,2.4960509828964916,4.988503448965309,6.695869313583125
2020,-8.292580044229947,-12.571037414241925,-29.391599032198556,17.277255550912418,1.0726356744986676,5.931324384822045,7.831374452213047,12.727613403505323,-7.355616030938872,4.506033159925682,24.83998455734564,11.241558654832096
2021,-5.444516506806741,24.21485200394915,4.043008195267039,21.893549603510888,4.966011327677355,2.4976881076738566,10.632123811009176,-0.9661458846776716,-1.8085272090804239,-0.8527529098908415,-6.501414843086739,6.152792215435876
2022,-0.8747191504052121,7.735521238621157,8.934432602681408,-1.5006987825388451,-15.718392290352678,-12.598567299353059,17.698296887451836,8.181127801733833,-2.803894105846594,2.22166183566046,11.326500065213473,2.4252719645103893
2023,-3.7927239745341956,-18.540903821560995,4.333758961190015,5.492541019993458,1.5630910761493588,5.416767320283755,8.843473112368061,-1.4626689769387524,2.7022112427244727,-5.656275063565164,8.756363596738105,13.688017413064447
2024,-0.06141767791113528,-0.6421617022913217,4.232574219595331,11.124831512459599,5.970049656136278,0.9327841432821948,-2.352683519533594,-1.858947590244442,8.43252023470933,-8.54550033467042,-3.1398555958341845,-4.251711416592874
2025,-2.892521116008151,-2.148293285672287,10.624448702740509,-5.616719222573552,7.1249645672055495,3.71522372052866,-2.615153065431064,-1.407044223778775,9.649043177167037,5.71818490123519,-3.006936145754213,2.2155707881996722
