Date,Nifty 50,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2007-09-17,4494.64990234375,6897.02001953125,4573.5498046875,,,,,,,,,,,,
2007-09-18,4546.2001953125,7059.56787109375,4576.75,,,,,,,,,,,,
2007-09-19,4732.35009765625,7401.76416015625,4667.2998046875,,,,,,,,,,,,
2007-09-20,4747.5498046875,7390.06396484375,4566.0498046875,,,,,,,,,,,,
2007-09-21,4837.5498046875,7464.4130859375,4603.85009765625,,,,,,,,,,,,
2007-09-24,4932.2001953125,7650.81103515625,4560.25,,,,,,,,,,,,
2007-09-25,4938.85009765625,7629.06103515625,4540.60009765625,,,,,,,,,,,,
2007-09-26,4940.5,7755.8095703125,4703.39990234375,,,,,,,,,,,,
2007-09-27,5000.5498046875,7833.55908203125,4816.2001953125,,,,,,,,,,,,
2007-09-28,5021.35009765625,8042.10693359375,4804.2001953125,,,,,,,,,,,,
2007-10-01,5068.9501953125,7987.4072265625,4766.9501953125,,,,,,,,,,,,
2007-10-03,5210.7998046875,8097.8056640625,4920.10009765625,,,,,,,,,,,,
2007-10-04,5208.64990234375,8035.806640625,4908.0,,,,,,,,,,,,
2007-10-05,5185.85009765625,7845.15869140625,4868.4501953125,,,,,,,,,,,,
2007-10-08,5085.10009765625,7626.31103515625,4895.89990234375,,,,,,,,,,,,
2007-10-09,5327.25,7895.75830078125,5015.39990234375,,,,,,,,,,,,
2007-10-10,5441.4501953125,8030.556640625,5171.60009765625,,,,,,,,,,,,
2007-10-11,5524.85009765625,8158.705078125,4947.2998046875,,,,,,,,,,,,
2007-10-12,5428.25,7933.90771484375,4877.85009765625,,,,,,,,,,,,
2007-10-15,5670.39990234375,8286.203125,4912.5498046875,,,,,,,,,,,,
2007-10-16,5668.0498046875,8452.1015625,4836.4501953125,,,,,,,,,,,,
2007-10-17,5559.2998046875,8099.8056640625,4882.89990234375,,,,,,,,,,,,
2007-10-18,5351.0,7608.66162109375,4904.2998046875,,,,,,,,,,,,
2007-10-19,5215.2998046875,7423.71337890625,4894.0498046875,,,,,,,,,,,,
2007-10-22,5184.0,7567.912109375,4807.0,,,,,,,,,,,,
2007-10-23,5473.7001953125,8101.005859375,4807.25,,,,,,,,,,,,
2007-10-24,5496.14990234375,8228.5546875,4756.85009765625,,,,,,,,,,,,
2007-10-25,5568.9501953125,8428.552734375,4766.2001953125,,,,,,,,,,,,
2007-10-26,5702.2998046875,8749.798828125,4824.64990234375,,,,,,,,,,,,
2007-10-29,5905.89990234375,9000.6455078125,4860.7998046875,,,,,,,,,,,,
2007-10-30,5868.75,8934.046875,4824.4501953125,,,,,,,,,,,,
2007-10-31,5900.64990234375,9013.0458984375,4793.64990234375,,,,,,,,,,,,
2007-11-01,5866.4501953125,9198.4931640625,4751.7998046875,,,,,,,,,,,,
2007-11-02,5932.39990234375,9560.5888671875,4745.0498046875,,,,,,,,,,,,
2007-11-05,5847.2998046875,9397.4404296875,4680.2001953125,,,,,,,,,,,,
2007-11-06,5786.5,9216.1923828125,4654.7001953125,,,,,,,,,,,,
2007-11-07,5782.35009765625,9090.0947265625,4511.60009765625,,,,,,,,,,,,
2007-11-08,5698.75,8876.146484375,4461.35009765625,,,,,,,,,,,,
2007-11-12,5617.10009765625,8758.0986328125,4331.35009765625,,,,,,,,,,,,
2007-11-13,5695.39990234375,9059.89453125,4281.2001953125,,,,,,,,,,,,
2007-11-14,5937.89990234375,9612.9384765625,4466.60009765625,,,,,,,,,,,,
2007-11-15,5912.10009765625,9454.58984375,4386.0,,,,,,,,,,,,
2007-11-16,5906.85009765625,9474.0400390625,4374.60009765625,,,,,,,,,,,,
2007-11-19,5907.64990234375,9396.140625,4390.85009765625,,,,,,,,,,,,
2007-11-20,5780.89990234375,9277.7421875,4280.60009765625,,,,,,,,,,,,
2007-11-21,5561.0498046875,8829.697265625,4201.25,,,,,,,,,,,,
2007-11-22,5519.35009765625,8998.6953125,4172.75,,,,,,,,,,,,
2007-11-23,5608.60009765625,8977.7958984375,4238.60009765625,,,,,,,,,,,,
2007-11-26,5731.7001953125,9122.34375,4332.2001953125,,,,,,,,,,,,
2007-11-27,5698.14990234375,9070.64453125,4355.9501953125,,,,,,,,,,,,
2007-11-28,5617.5498046875,8970.7451171875,4312.39990234375,,,,,,,,,,,,
2007-11-29,5634.60009765625,9124.2939453125,4284.7001953125,,,,,,,,,,,,
2007-11-30,5762.75,9375.640625,4431.14990234375,,,,,,,,,,,,
2007-12-03,5865.0,9397.4404296875,4539.0,,,,,,,,,,,,
2007-12-04,5858.35009765625,9366.9912109375,4530.5498046875,,,,,,,,,,,,
2007-12-05,5940.0,9581.1884765625,4527.64990234375,,,,,,,,,,,,
2007-12-06,5954.7001953125,9620.0390625,4555.7998046875,,,,,,,,,,,,
2007-12-07,5974.2998046875,9795.9853515625,4711.4501953125,,,,,,,,,,,,
2007-12-10,5960.60009765625,9864.4853515625,4679.14990234375,,,,,,,,,,,,
2007-12-11,6097.25,10090.5830078125,4690.0498046875,,,,,,,,,,,,
2007-12-12,6159.2998046875,10056.5830078125,4657.5498046875,,,,,,,,,,,,
2007-12-13,6058.10009765625,9920.3349609375,4580.25,,,,,,,,,,,,
2007-12-14,6047.7001953125,9803.0361328125,4569.7001953125,,,,,,,,,,,,
2007-12-17,5777.0,9426.5908203125,4467.35009765625,,,,,,,,,,,,
2007-12-18,5742.2998046875,9279.0927734375,4452.0498046875,,,,,,,,,,,,
2007-12-19,5751.14990234375,9240.2421875,4475.75,,,,,,,,,,,,
2007-12-20,5766.5,9245.3427734375,4593.7998046875,,,,,,,,,,,,
2007-12-24,5985.10009765625,9563.4384765625,4872.2001953125,,,,,,,,,,,,
2007-12-26,6070.75,9755.0869140625,4879.60009765625,,,,,,,,,,,,
2007-12-27,6081.5,9784.9365234375,4874.2001953125,,,,,,,,,,,,
2007-12-28,6079.7001953125,9828.2353515625,4824.64990234375,,,,,,,,,,,,
2007-12-31,6138.60009765625,9863.3359375,4812.60009765625,,,,,,,,,,,,
2008-01-01,6144.35009765625,9905.134765625,4748.2001953125,,,,,,,,,,,,
2008-01-02,6179.39990234375,10250.73046875,4722.5,,,,,,,,,,,,
2008-01-03,6178.5498046875,10100.5830078125,4616.85009765625,,,,,,,,,,,,
2008-01-04,6274.2998046875,10233.0810546875,4592.5,,,,,,,,,,,,
2008-01-07,6279.10009765625,10390.978515625,4460.9501953125,,,,,,,,,,,,
2008-01-08,6287.85009765625,10355.4794921875,4506.35009765625,,,,,,,,,,,,
2008-01-09,6272.0,10306.330078125,4529.10009765625,,,,,,,,,,,,
2008-01-10,6156.9501953125,10266.73046875,4432.2001953125,,,,,,,,,,,,
2008-01-11,6200.10009765625,10561.4267578125,4404.35009765625,,,,,,,,,,,,
2008-01-14,6206.7998046875,10698.2255859375,4268.14990234375,,,,,,,,,,,,
2008-01-15,6074.25,10465.578125,4195.39990234375,,,,,,,,,,,,
2008-01-16,5935.75,10346.830078125,4173.2998046875,,,,,,,,,,,,
2008-01-17,5913.2001953125,10261.380859375,4138.14990234375,,,,,,,,,,,,
2008-01-18,5705.2998046875,9739.787109375,4060.0,,,,,,,,,,,,
2008-01-21,5208.7998046875,9038.8447265625,3786.14990234375,,,,,,,,,,,,
2008-01-22,4899.2998046875,8682.349609375,3626.5,,,,,,,,,,,,
2008-01-23,5203.39990234375,9259.0927734375,3819.800048828125,,,,,,,,,,,,
2008-01-24,5033.4501953125,9133.7431640625,3726.050048828125,,,,,,,,,,,,
2008-01-25,5383.35009765625,9752.13671875,3948.14990234375,,,,,,,,,,,,
2008-01-28,5274.10009765625,9901.78515625,3800.75,,,,,,,,,,,,
2008-01-29,5280.7998046875,9569.48828125,3864.89990234375,,,,,,,,,,,,
2008-01-30,5167.60009765625,9404.041015625,3846.64990234375,,,,,,,,,,,,
2008-01-31,5137.4501953125,9226.142578125,3838.14990234375,,,,,,,,,,,,
2008-02-01,5317.25,9326.94140625,4074.14990234375,,,,,,,,,,,,
2008-02-04,5463.5,9561.388671875,4257.35009765625,,,,,,,,,,,,
2008-02-05,5483.89990234375,9397.6904296875,4192.5498046875,,,,,,,,,,,,
2008-02-06,5322.5498046875,9185.5439453125,3976.449951171875,,,,,,,,,,,,
2008-02-07,5133.25,8960.345703125,3846.25,,,,,,,,,,,,
2008-02-08,5120.35009765625,8816.8974609375,3961.050048828125,,,,,,,,,,,,
2008-02-11,4857.0,8419.15234375,3956.14990234375,,,,,,,,,,,,
2008-02-12,4838.25,8512.2509765625,3880.14990234375,,,,,,,,,,,,
2008-02-13,4929.4501953125,8748.6484375,3874.800048828125,,,,,,,,,,,,
2008-02-14,5202.0,9125.09375,3921.60009765625,,,,,,,,,,,,
2008-02-15,5302.89990234375,9379.9404296875,3956.60009765625,,,,,,,,,,,,
2008-02-18,5276.89990234375,9404.0908203125,3903.64990234375,,,,,,,,,,,,
2008-02-19,5280.7998046875,9423.3408203125,3937.85009765625,,,,,,,,,,,,
2008-02-20,5154.4501953125,9128.9931640625,3943.949951171875,,,,,,,,,,,,
2008-02-21,5191.7998046875,8946.0966796875,4110.25,,,,,,,,,,,,
2008-02-22,5110.75,8684.9990234375,4017.300048828125,,,,,,,,,,,,
2008-02-25,5200.7001953125,8666.3994140625,4082.699951171875,,,,,,,,,,,,
2008-02-26,5270.0498046875,8742.1484375,4138.9501953125,,,,,,,,,,,,
2008-02-27,5268.39990234375,8719.498046875,4058.60009765625,,,,,,,,,,,,
2008-02-28,5285.10009765625,8608.150390625,4062.35009765625,,,,,,,,,,,,
2008-02-29,5223.5,8688.2490234375,3984.5,,,,,,,,,,,,
2008-03-03,4953.0,8047.3564453125,3825.10009765625,,,,,,,,,,,,
2008-03-04,4864.25,7736.51025390625,3782.0,,,,,,,,,,,,
2008-03-05,4921.39990234375,7588.26171875,3902.75,,,,,,,,,,,,
2008-03-07,4771.60009765625,7268.0654296875,3762.050048828125,,,,,,,,,,,,
2008-03-10,4800.39990234375,7272.41552734375,3701.39990234375,,,,,,,,,,,,
2008-03-11,4865.89990234375,7356.314453125,3669.050048828125,,,,,,,,,,,,
2008-03-12,4872.0,7341.46435546875,3621.300048828125,,,,,,,,,,,,
2008-03-13,4623.60009765625,6914.5693359375,3439.5,,,,,,,,,,,,
2008-03-14,4745.7998046875,7105.91748046875,3530.699951171875,,,,,,,,,,,,
2008-03-17,4503.10009765625,6556.1240234375,3405.949951171875,,,,,,,,,,,,
2008-03-18,4533.0,6472.724609375,3440.35009765625,,,,,,,,,,,,
2008-03-19,4573.9501953125,6456.474609375,3501.14990234375,,,,,,,,,,,,
2008-03-24,4609.85009765625,6634.52294921875,3563.25,,,,,,,,,,,,
2008-03-25,4877.5,7147.06689453125,3831.550048828125,,,,,,,,,,,,
2008-03-26,4828.85009765625,7120.81689453125,3831.050048828125,,,,,,,,,,,,
2008-03-27,4830.25,6969.21875,3735.10009765625,,,,,,,,,,,,
2008-03-28,4942.0,7037.76806640625,3904.699951171875,,,,,,,,,,,,
2008-03-31,4734.5,6654.9228515625,3704.949951171875,,,,,,,,,,,,
2008-04-01,4739.5498046875,6608.0234375,3674.85009765625,,,,,,,,,,,,
2008-04-02,4754.2001953125,6772.62158203125,3760.14990234375,,,,,,,,,,,,
2008-04-03,4771.60009765625,6746.021484375,3882.699951171875,,,,,,,,,,,,
2008-04-04,4647.0,6545.07373046875,3801.60009765625,,,,,,,,,,,,
2008-04-07,4761.2001953125,6832.3203125,3892.199951171875,,,,,,,,,,,,
2008-04-08,4709.64990234375,6862.62060546875,3830.0,,,,,,,,,,,,
2008-04-09,4747.0498046875,7059.4677734375,3826.64990234375,,,,,,,,,,,,
2008-04-10,4733.0,6872.77001953125,3825.89990234375,,,,,,,,,,,,
2008-04-11,4777.7998046875,6838.37060546875,3824.64990234375,,,,,,,,,,,,
2008-04-15,4879.64990234375,6916.66943359375,4033.0,,,,,,,,,,,,
2008-04-16,4887.2998046875,6951.8193359375,4160.10009765625,,,,,,,,,,,,
2008-04-17,4958.39990234375,7164.96630859375,4304.2001953125,,,,,,,,,,,,
2008-04-21,5037.0,7425.36376953125,4277.2998046875,,,,,,,,,,,,
2008-04-22,5049.2998046875,7520.8125,4053.35009765625,,,,,,,,,,,,
2008-04-23,5022.7998046875,7377.9638671875,4097.2001953125,,,,,,,,,,,,
2008-04-24,4999.85009765625,7391.81396484375,4137.60009765625,,,,,,,,,,,,
2008-04-25,5111.7001953125,7616.21142578125,4165.60009765625,,,,,,,,,,,,
2008-04-28,5089.64990234375,7589.96142578125,4129.2001953125,,,,,,,,,,,,
2008-04-29,5195.5,7737.3603515625,4318.60009765625,,,,,,,,,,,,
2008-04-30,5165.89990234375,7628.9111328125,4357.64990234375,,,,,,,,,,,,
2008-05-02,5228.2001953125,7871.80859375,4458.5,,,,,,,,,,,,
2008-05-05,5192.25,7851.40869140625,4392.5498046875,,,,,,,,,,,,
2008-05-06,5144.64990234375,7814.458984375,4440.35009765625,,,,,,,,,,,,
2008-05-07,5135.5,7743.51025390625,4495.0498046875,,,,,,,,,,,,
2008-05-08,5081.7001953125,7518.71240234375,4407.4501953125,,,,,,,,,,,,
2008-05-09,4982.60009765625,7298.9150390625,4334.4501953125,,,,,,,,,,,,
2008-05-12,5012.64990234375,7330.46484375,4380.0498046875,,,,,,,,,,,,
2008-05-13,4957.7998046875,7340.86474609375,4344.35009765625,,,,,,,,,,,,
2008-05-14,5011.75,7324.76513671875,4512.35009765625,,,,,,,,,,,,
2008-05-15,5115.25,7508.0625,4569.0,,,,,,,,,,,,
2008-05-16,5157.7001953125,7644.51123046875,4552.64990234375,,,,,,,,,,,,
2008-05-20,5104.9501953125,7459.11328125,4513.7998046875,,,,,,,,,,,,
2008-05-21,5117.64990234375,7374.1640625,4510.2001953125,,,,,,,,,,,,
2008-05-22,5025.4501953125,7147.216796875,4476.7001953125,,,,,,,,,,,,
2008-05-23,4946.5498046875,7008.96826171875,4390.35009765625,,,,,,,,,,,,
2008-05-26,4875.0498046875,6767.37158203125,4436.10009765625,,,,,,,,,,,,
2008-05-27,4859.7998046875,6593.87353515625,4490.2001953125,,,,,,,,,,,,
2008-05-28,4918.35009765625,6780.8212890625,4614.9501953125,,,,,,,,,,,,
2008-05-29,4835.2998046875,6576.67333984375,4588.25,,,,,,,,,,,,
2008-05-30,4870.10009765625,6584.2734375,4688.35009765625,,,,,,,,,,,,
2008-06-02,4739.60009765625,6347.076171875,4574.2001953125,,,,,,,,,,,,
2008-06-03,4715.89990234375,6301.126953125,4524.85009765625,,,,,,,,,,,,
2008-06-04,4585.60009765625,6113.57861328125,4418.5,,,,,,,,,,,,
2008-06-05,4676.9501953125,6211.7275390625,4615.7001953125,,,,,,,,,,,,
2008-06-06,4627.7998046875,6139.978515625,4571.2998046875,,,,,,,,,,,,
2008-06-09,4500.9501953125,5949.130859375,4359.35009765625,,,,,,,,,,,,
2008-06-10,4449.7998046875,5814.28271484375,4249.89990234375,,,,,,,,,,,,
2008-06-11,4523.60009765625,5971.1806640625,4303.60009765625,,,,,,,,,,,,
2008-06-12,4539.35009765625,5999.2802734375,4300.7001953125,,,,,,,,,,,,
2008-06-13,4517.10009765625,5993.080078125,4322.7001953125,,,,,,,,,,,,
2008-06-16,4572.5,6127.6787109375,4380.25,,,,,,,,,,,,
2008-06-17,4653.0,6425.5751953125,4425.10009765625,,,,,,,,,,,,
2008-06-18,4582.39990234375,6200.4775390625,4323.10009765625,,,,,,,,,,,,
