Date,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2011-09-05,98.68297995562567,95.54493880947985,105.83946666878636,103.72823817718552,102.64323015086916,95.63661975095657,91.75317319588859,100.88356967789657,99.97245400624412,97.81688392642216,102.45097787197007,98.87941085868864,104.11467928332017,108.46500638359021
2011-09-06,98.47669631790458,95.35312802737845,106.08287902167527,103.85367926047722,102.56401404832914,95.42037194486524,91.66491178313605,100.96338499826608,100.02376092351464,97.5183447680773,102.46338906308856,98.69744808315556,103.78672566434933,108.62308234930151
2011-09-07,98.24697189820634,95.18587481873583,106.2437257877199,103.91748150616267,102.4635620762343,95.30391793827413,91.71549301840984,101.05736308335295,100.0888064965045,97.20022442500424,102.44693052001602,98.51323913392075,103.38251181041096,108.66616411432982
2011-09-08,98.01069271363642,95.03333553590441,106.30702682049841,103.96150421170664,102.34687089591866,95.29199664320126,91.9551258564852,101.17126927105922,100.16464392463618,96.86926314568053,102.41662575532447,98.33113872880948,102.92954894793881,108.61604047204092
2011-09-09,97.77746478306628,94.91161444981132,106.2862200301241,103.98756020600713,102.22673616796556,95.43594845427917,92.3281357464319,101.27672730546558,100.23365716901552,96.52836524062718,102.36569924416291,98.15802761279107,102.4316650964771,108.45631781773078
2011-09-12,97.55789629573196,94.86352392874655,106.19454975003268,103.98790584623801,102.09040151780242,95.66743297320984,92.77131188718829,101.33989312291452,100.2979617001483,96.17073824121803,102.2752660241667,98.00441922350453,101.88579456757756,108.14940076058325
2011-09-13,97.35904438886664,94.92616608173728,106.01560275381759,103.94931605648279,101.929474490492,95.93782009274561,93.30123621825832,101.33913945227593,100.35324288393893,95.79228505186678,102.14009667409319,97.88425151077772,101.27879474661674,107.68691082266311
2011-09-14,97.17247225457507,95.06928921867825,105.75669365536179,103.88206326740526,101.7810039298038,96.22912139411372,93.91232659217071,101.31579913290966,100.38817359234947,95.37255082970816,101.98914179424467,97.78519002223791,100.63201214572726,107.10439230955696
2011-09-15,97.0022751323464,95.30594461616954,105.41855190194353,103.7762728178753,101.61759473745133,96.50813976463091,94.60163409500225,101.26633925671311,100.3859127165753,94.9422458222738,101.81392837482129,97.71095749220846,99.93460315668342,106.40145277268209
2011-09-16,96.86733746003556,95.65556928330649,104.96879834129774,103.65281355449213,101.418601268262,96.81616919248897,95.33794180098059,101.18849892125247,100.34658828795273,94.51650688180727,101.60346188242328,97.6796722493792,99.22690637600046,105.58725993221117
2011-09-19,96.7776943607146,96.0685946858565,104.41842486426185,103.50154834455654,101.19098870134249,97.17029700293145,96.14234132800324,101.1097193432485,100.26943841922152,94.13522993337497,101.36307151269803,97.68267045347534,98.53609739813571,104.66705331303282
2011-09-20,96.73763263904837,96.48975164404419,103.80956037298377,103.3921659768125,100.99382798217466,97.66390136575585,96.95433604438779,101.05000614145054,100.15727286509595,93.8267858289491,101.14096969496966,97.70782898611682,97.98392328791593,103.72994682142026
2011-09-21,96.75923445105649,96.87202681510179,103.19701135282419,103.31263225660375,100.7979945542181,98.16982121459418,97.74736049376712,101.00155452488238,100.02414143610297,93.61548183633165,100.93902985751882,97.75068234366177,97.53666430154921,102.81186506107427
2011-09-22,96.86283141976855,97.25428967084743,102.54774705716234,103.23004452131845,100.59842294604955,98.61880100053106,98.51834541195824,100.93618651248273,99.88031395404956,93.52338551109803,100.75118344529623,97.82915480930215,97.15927148000931,101.89667170252073
2011-09-23,97.02059451913165,97.65551211806714,101.87952767872488,103.14957049988729,100.40553999897672,98.99151822503882,99.24644965232248,100.8807291455313,99.71016690184881,93.53020817188622,100.58215268439936,97.94120110345996,96.86260589088091,100.99332153447459
2011-09-26,97.23982879877143,98.0623478564996,101.2255822621479,103.08002289711519,100.24996187173379,99.30045638240806,99.98276000264994,100.82124963818971,99.52927134306886,93.65303002912096,100.46161662964126,98.08775184133208,96.68079535285189,100.13434761222884
2011-09-27,97.50102248027233,98.51044120873111,100.62443820822011,103.02614348489112,100.12884530448784,99.48727351498529,100.64177850115833,100.75181878089181,99.32011596018813,93.86340640786594,100.37196752769981,98.26170482012888,96.57495899014425,99.3359790583187
2011-09-28,97.7807530723733,99.01332427185892,100.10625216466212,102.95964816230325,100.04494206198422,99.57077338590277,101.17510078812835,100.66343312028945,99.07674118344906,94.14325740893749,100.30259705751182,98.4636321866312,96.53886990294619,98.59693075470406
2011-09-29,98.07109783092119,99.55521414959688,99.66554139835992,102.86307432947525,99.98034845811843,99.49531584126991,101.61543530660099,100.57805165091213,98.8053953365181,94.47197082537029,100.24665641860794,98.68193205244368,96.54631400436084,97.91591180603824
2011-09-30,98.3761685160611,100.1160760625726,99.27215087244463,102.72910517304395,99.92645833083837,99.30953803702302,102.02292420303063,100.51587820435755,98.50567696218052,94.87181913359616,100.20395688043048,98.91874927679687,96.58313807683636,97.32991188863795
2011-10-03,98.68263280951251,100.65731261269681,98.92956144386478,102.58814193665093,99.89841224837274,99.0528003917037,102.35956082570321,100.49267187483532,98.18837674836118,95.34031285368526,100.16654028674262,99.16219946909196,96.67350321579265,96.84989030048432
