Weekday,Nifty 50,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
Monday,0.012784954279392588,0.03075793632913774,0.045129647248798414,-0.01582806067805266,-0.0035662867908581464,-0.024651935167159727,-0.043363337142408635,0.009814927478061652,-0.012492134556200796,0.019518291834306808,0.01361511660504108,0.006846210396684204,-0.007127182824226072,-0.09537054715659221,-0.013342143341023313
Tuesday,0.06551631721002947,0.06203878190081412,0.06895465542501024,0.05951399265530211,0.12678770259912825,0.0454958706848264,0.0811341317410703,0.013052805344897367,0.08284346299540088,0.05685694928902772,0.015516361370683381,0.10002552929985314,0.08757446284608422,0.05483301113868872,0.06565555615698215
Wednesday,0.10401631453475156,0.09894281588755074,0.18152931568635042,0.09805599968673558,0.04307853987929088,0.0915134936965851,0.056809519419114066,0.10568874366366511,0.061897264076989415,0.02100947857407864,0.09264228575485477,0.07933761806236522,0.05868181471936547,0.09033482555351326,0.041997948426182305
Thursday,-0.010814880110397818,0.021062268432195712,-0.02925836815278963,0.030759442721145513,0.034604098099031075,0.013790735866109608,0.055732736226156626,0.046882756630327246,-0.002679671756178064,0.0034537966706624226,-0.031411452962189966,0.014599276312525219,0.020981144433890368,0.055789505295145876,0.02265150691273898
Friday,0.06603587480975454,0.09958090641659442,0.025505742329096692,0.05478722641045507,0.05574229433310478,0.07749699537943805,0.02511057561186772,-0.01820849094769142,0.06128319157933235,0.045721124868476716,0.07410587305153789,0.02132294610974588,0.045270306082894875,-0.05072567153693144,0.06010518848917062
