Date,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2007-10-19,148.83023377893983,91.90945343839202,160.77999295365035,69.5726931271247,87.72129813960713,71.00116868715455,8.426467324339505,164.37690309943522,65.47767444723655,77.98176635915877,91.10498566582646,125.30278491842473,25.189246323940033,47.2798691327067
2007-10-22,148.00243250826543,91.81555805230413,160.51117634818732,69.45637084811611,87.5746322444326,70.8824580640244,8.412378666288456,164.10207262895216,65.368198847349,77.85138450420547,90.9526624038488,125.09328454043589,25.14713108580263,47.20081940958192
2007-10-23,147.47346380787803,91.34436488157566,159.9452511123877,69.21148376956938,87.26586437212268,70.632542932215,8.38271856729306,163.52348672446482,65.13772571651707,77.57689855166782,90.63198437949838,124.65223458889277,25.05846812529609,47.034400251352345
2007-10-24,147.14751938100434,90.79585749277987,159.32864569467895,68.94466637072088,86.92944547641518,70.36024720392267,8.350402323779905,162.89308683990632,64.88661307456805,77.27783161718041,90.28258874444558,124.17168738513114,24.96186514960235,46.85307779374911
2007-10-25,147.15244448303702,90.20341130981616,158.51418113034475,68.59223139323164,86.48507495767345,70.00057598575889,8.307716297290446,162.06040137755477,64.55492226769223,76.88279872660158,89.82107745130612,123.53694001231676,24.834263772364768,46.613571762510205
2007-10-26,147.40027777924965,89.36980567605842,157.20732017816044,68.02672672865341,85.77205378440705,69.42346030605212,8.239223813190069,160.72430381867775,64.02270296351799,76.2489429615592,89.08055279939683,122.51844689136576,24.62951912826468,46.229268879677434
2007-10-29,147.69930563398955,88.52394860410801,156.07809657290403,67.53808926874845,85.1559512537176,68.92479007843592,8.180041289066505,159.56981764332173,63.56282649353687,75.70124514335032,88.44068524821428,121.63839421854941,24.452604755866297,45.89720303431148
2007-10-30,148.0314232328473,87.60715659344301,155.25656236816596,67.18259511758156,84.7077235508685,68.56199687524374,8.136984743255807,158.72990438120317,63.228256574625284,75.30278332460644,87.975167987194,120.99813716996815,24.323895784889697,45.655618064847935
2007-10-31,148.39383662637735,87.01380211267157,154.5487968064121,66.8763309156168,84.32156783139747,68.24944441695662,8.099890803457393,158.00630495179485,62.94001895136052,74.95950175293936,87.57411702199745,120.44654493309896,24.213010837408948,45.44748854250117
2007-11-01,149.15374355245098,86.3808822756886,153.70392549833187,66.51073833678193,83.8606074435769,67.87634544386964,8.055611161817763,157.1425324973463,62.595944993873566,74.54972093543888,87.0953759361317,119.78810027306814,24.080645664974856,45.199040933155096
2007-11-02,150.22717438589777,85.90590749635875,153.22572457786342,66.30381131009365,83.59970181256882,67.66516976462749,8.030548687583435,156.65363344391395,62.401197602636714,74.31778316900636,86.82440635089718,119.4154176650864,24.005726388286696,45.05841848055052
2007-11-05,151.05544955103662,85.52819839847211,152.8936593745455,66.16012010782266,83.4185275870516,67.51852827595232,8.013145175281284,156.3141394014915,62.26596400249361,74.15672437913187,86.63624366328517,119.15662492610284,23.9537020533659,44.960769518960376
2007-11-06,152.02489799878322,85.00017571159397,152.46002283377035,65.9724769724684,83.18193620787092,67.32703242740251,7.990418316831087,155.87080170546412,62.08936546107257,73.94640129858995,86.39052620736459,118.8186732618234,23.885764635034285,44.833251918527836
2007-11-07,153.09723804293168,84.02671980231055,151.6040819107778,65.6020943516191,82.71493625646922,66.94904506253708,7.9455585175074175,154.99571199079952,61.74078340137606,73.53125147896478,85.9055125928752,118.1516015733234,23.7516651967154,44.58154911595289
2007-11-08,154.05517543561288,82.91573615793509,150.6053565467411,65.16992607001932,82.17003335027549,66.50800344572004,7.8932153963799605,153.97464351473272,61.334052358245295,73.04684812401668,85.33959106058047,117.37325180987648,23.59519585782234,44.28785831746662
2007-11-12,154.76464318737285,81.80019698185042,149.69215981285478,64.77476772373377,81.67179472318183,66.10473165700992,7.845354824318581,153.04101708348875,60.96215286161499,72.60392800047619,84.82213379601414,116.66155819780282,23.452126206869497,44.01931854907017
2007-11-13,155.55572768272717,80.8962638789293,149.25553027422873,64.58582945882276,81.4335703693257,65.91191408713527,7.822471103076381,152.59461943137677,60.784335421403725,72.39215325138498,84.57472037642735,116.32127396117356,23.383719878453178,43.890920810853665
2007-11-14,156.42546551916237,80.08720055049538,148.42445886729084,64.22620837102805,80.98013918473598,65.5449092125171,7.778914713216521,151.74495560432138,60.445881475572456,71.9890656837528,84.10379891894115,115.67358415946164,23.253516723212492,43.646531278063435
2007-11-15,157.03762775953552,79.27302779912176,147.78454430825008,63.94930464422818,80.6310028600835,65.26232006247952,7.7453768393612785,151.09072511499872,60.18527618258057,71.67869331268716,83.74119530354251,115.17487113625127,23.153261926842394,43.45835440324367
2007-11-16,157.5338705221734,78.519523174233,147.41168298796092,63.78796015267238,80.42757034064535,65.09766282489402,7.72583520564052,150.70952228006414,60.03342835813829,71.4978475256648,83.5299157493129,114.88428422327601,23.094846103648894,43.34870870601441
