Year,1,2,3,4,5,6,7,8,9,10,11,12
2007,,,,,,,,,,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,-1.9755813310731174,-1.460600570172843,13.007010662392403,-2.074227190041933,-20.060217637772716,-1.298869941926628
2011,-22.687198167547816,-10.502129737367017,19.170785495084154,-7.660389701597881,-0.017278878353954585,-7.467590701301862,2.017558012189924,-15.25361500036546,2.679348474747467,10.03788109884345,-19.640468045896952,-12.32746711226298
2012,25.65146622302965,13.977097114397807,-9.38210230723544,-5.166285691634842,-8.24878570797316,7.187498532808734,-2.0856667235406467,-8.841045708635143,23.31657984747959,-4.584352192260244,13.837281546463798,5.533671234476456
2013,4.79914702660269,-12.771368879066946,-12.910751598775782,7.724940070330111,-11.398963730569944,-10.058479532163744,-12.847852768916612,-10.743061576930934,0.06686114522642672,15.001679333552342,1.2492700872951623,5.939745253093598
2014,-16.278440984940733,-0.3235198900853775,22.7198956875325,-5.210264979905288,35.57477739154913,8.726074177625364,-8.366455179017397,-8.985746633247993,-7.94371300843264,-1.0355059526205523,9.018438654078986,-7.175501247378103
2015,16.592809421712218,1.8158796437253155,-10.348407953303395,-5.250979026241465,-2.587892076553522,-9.298247143738248,-2.4316076102189332,-8.609457199378312,11.031910207396578,-1.730388473536748,-1.5620562069467936,-0.4039220634249663
2016,-11.03708133146456,-15.14164737083269,20.145816872754008,11.657617147389177,4.77688255088542,9.336612980276948,3.5705337810159277,-0.8919917546622247,-1.3865269088796817,3.8233843693539438,-20.24233379067406,-1.4894250277585397
2017,8.587841804706331,9.830127316342363,9.001014338077674,16.794606474085306,-0.258916210863136,5.211668781406487,7.401783676774332,-0.9012257291160841,-2.4607682049492707,11.334552102376595,6.929394451072457,6.541765170052538
2018,-0.6341832597753227,-5.163915776091111,-10.048946686098093,9.59021029679008,-8.4716796875,-7.933556008005027,0.47873996280125564,1.0995051980544401,-20.39151667768737,-2.1402605083788995,7.957192456577045,0.15086469979119776
2019,-1.6354650105172897,0.7438183878987648,15.808900715085494,-3.131448075996268,9.930323509972983,0.2993398659612678,-6.091986070782351,-0.09347541169917317,-3.1624295737247343,3.961352657004835,4.851296577311803,5.850026844217204
2020,10.885949197404532,-15.254493841450179,-37.44430310597274,6.723648462540055,-3.844098681756325,12.520814563441917,-0.8142087077126825,10.820895522388053,-4.870934277672545,7.6923093540627985,14.461006003551248,20.15696456198981
2021,-2.612716918134028,14.444624497992574,-4.473983545633198,-7.3469963314061975,7.558137414461319,3.288291954063438,15.90346845416828,-2.9725338730577255,32.83350672388736,-2.9388820445090835,-2.22578821572349,-0.707549664447471
2022,-0.8055342240318675,-9.130662384906952,6.221355242027005,-4.2713813643356024,-7.22253246038731,-6.412441979911032,17.038678041520704,2.716487341922069,-8.462869424431386,3.455187239736879,2.6216801914999754,-4.076420382610357
2023,-4.689671276625673,-4.45874769292145,-1.4877939781028027,14.908996796186159,7.571328067251404,8.604848215837023,8.990384615384617,-1.4733084403947938,3.089183246025229,4.751146430294395,18.341621158530263,9.73234509292209
2024,9.341680040151235,6.347812988911228,-1.0872509485066462,8.06084201609487,4.741846844496522,8.37256950577332,-0.9957003847024248,-3.689140624999998,4.328837528867702,-9.049136688537873,2.0609311062650404,3.1563937069324366
2025,-12.448330217051652,-13.398812008798988,6.6925631965133014,4.05849739085995,7.16825667438763,3.9184719190698214,-7.521160926982073,-4.5596510877551015,-0.3617599097401669,9.215077738221078,-4.685764756572119,-2.020705254571631
